zips,cbsa,cbsa_type
63901,38740,2
64683,-2,-2
63130,41180,1
63119,41180,1
64067,28140,1
65251,27620,1
64068,28140,1
59102,13740,1
59417,-2,-2
59701,15580,2
59625,25740,2
59330,-2,-2
59043,-2,-2
59101,13740,1
59901,28060,2
59526,-2,-2
59255,-2,-2
59405,24500,1
59601,25740,2
59022,-2,-2
59301,-2,-2
59717,14580,2
59812,33540,1
59501,25660,2
59855,-2,-2
59725,-2,-2
68005,36540,1
68131,36540,1
68802,24260,2
69337,-2,-2
68434,30700,1
68178,36540,1
68008,36540,1
68333,-2,-2
68108,36540,1
68901,25580,2
68849,28260,2
68501,30700,1
68114,36540,1
68111,36540,1
68025,23340,2
68182,36540,1
68134,36540,1
68039,-2,-2
68198,36540,1
68504,30700,1
68588,30700,1
68702,35740,2
68421,-2,-2
68124,36540,1
68510,30700,1
68506,30700,1
68787,-2,-2
69361,42420,2
68467,-2,-2
89502,39900,1
89074,29820,1
89154,29820,1
89557,39900,1
89801,21220,2
89521,39900,1
89451,39900,1
89512,39900,1
89703,16180,1
03257,18180,2
03063,31700,1
03755,30100,2
03461,28300,2
03103,31700,1
03820,14460,1
03242,18180,2
03106,31700,1
03824,14460,1
03435,28300,2
03101,31700,1
03264,30100,2
03301,18180,2
03060,31700,1
03102,31700,1
03054,31700,1
03036,14460,1
07945,35620,1
08330,12100,1
07652,35620,1
07424,35620,1
08701,35620,1
07003,35620,1
07738,35620,1
08068,37980,1
07006,35620,1
08012,37980,1
07840,10900,1
07869,35620,1
08362,47220,1
08902,35620,1
07940,35620,1
07102,35620,1
07666,35620,1
07644,35620,1
08028,37980,1
08080,37980,1
07306,35620,1
07305,35620,1
07039,35620,1
07083,35620,1
08550,45940,1
08818,35620,1
07764,35620,1
07043,35620,1
08754,35620,1
07505,35620,1
08544,45940,1
07960,35620,1
07430,35620,1
08648,45940,1
08102,37980,1
08901,35620,1
08069,37980,1
07079,35620,1
08876,35620,1
07030,35620,1
08240,12100,1
07710,35620,1
08608,45940,1
08628,45940,1
07016,35620,1
07101,35620,1
07470,35620,1
87106,10740,1
87313,23700,2
88003,29740,1
88101,17580,2
88130,38780,2
88202,40740,2
87508,42140,1
87701,29780,2
88240,26020,2
88201,40740,2
87301,23700,2
87801,-2,-2
87544,31060,2
87131,10740,1
88310,10460,2
88220,16100,2
87020,24380,2
87031,10740,1
87532,21580,2
87402,22140,1
87505,42140,1
87120,10740,1
87571,45340,2
88401,-2,-2
88061,43500,2
11369,35620,1
11530,35620,1
12804,24020,1
10007,35620,1
12205,10580,1
12208,10580,1
14802,-2,-2
10016,35620,1
10019,35620,1
12504,39100,1
10027,35620,1
10017,35620,1
11214,35620,1
11204,35620,1
10010,35620,1
10032,35620,1
11375,35620,1
11714,35620,1
13902,13780,1
13203,45060,1
14203,15380,1
14606,40380,1
14208,15380,1
11365,35620,1
13021,12180,2
13035,45060,1
11230,35620,1
13699,36300,2
12901,38460,2
10701,35620,1
13346,45060,1
10013,35620,1
12534,26460,2
10708,35620,1
10003,35620,1
14853,27060,1
14830,18500,2
13210,45060,1
12538,39100,1
10453,35620,1
11210,35620,1
10314,35620,1
10031,35620,1
10451,35620,1
10021,35620,1
11235,35620,1
11101,35620,1
10468,35620,1
11225,35620,1
11201,35620,1
11367,35620,1
11364,35620,1
11451,35620,1
14201,15380,1
14226,15380,1
10962,35620,1
11769,35620,1
12601,39100,1
12308,10580,1
14901,21300,1
10001,35620,1
14424,40380,1
11746,35620,1
10458,35620,1
12095,24100,2
14020,12860,2
13323,46540,1
13820,36580,2
10035,35620,1
13350,46540,1
14075,15380,1
14456,40380,1
11549,35620,1
14744,-2,-2
12180,10580,1
10801,35620,1
11701,35620,1
14850,27060,1
14701,27460,2
13601,48060,2
10023,35620,1
10018,35620,1
11747,35620,1
10562,35620,1
14478,-2,-2
10952,35620,1
10022,35620,1
13214,45060,1
11548,35620,1
11968,35620,1
11231,35620,1
11725,35620,1
10471,35620,1
10577,35620,1
10591,35620,1
14214,15380,1
10522,35620,1
11218,35620,1
10002,35620,1
12110,10580,1
11223,35620,1
13501,46540,1
11571,35620,1
14623,40380,1
12550,39100,1
10550,35620,1
14618,40380,1
10805,35620,1
10011,35620,1
10012,35620,1
14132,15380,1
14109,15380,1
12983,-2,-2
11568,35620,1
10960,35620,1
10566,35620,1
14760,36460,2
13215,45060,1
10940,39100,1
10038,35620,1
12970,31660,2
11372,35620,1
13790,13780,1
11205,35620,1
11219,35620,1
11211,35620,1
11561,35620,1
14624,40380,1
14621,40380,1
14627,40380,1
10901,35620,1
14778,36460,2
13617,36300,2
12203,10580,1
10976,35620,1
12065,10580,1
12305,10580,1
11559,35620,1
12211,10580,1
13207,45060,1
12866,10580,1
11772,35620,1
10304,35620,1
11439,35620,1
12759,-2,-2
13753,-2,-2
12043,10580,1
11735,35620,1
13408,45060,1
12222,10580,1
11794,35620,1
13504,46540,1
14420,40380,1
14222,15380,1
13045,18660,2
14063,27460,2
14454,40380,1
12561,28740,1
13126,45060,1
13676,36300,2
11203,35620,1
10465,35620,1
13244,45060,1
11213,35620,1
14607,40380,1
13053,27060,1
14220,15380,1
12484,28740,1
11024,35620,1
10996,39100,1
13502,46540,1
12604,39100,1
14225,15380,1
10301,35620,1
11542,35620,1
13026,12180,2
10606,35620,1
10595,35620,1
10549,35620,1
11418,35620,1
10033,35620,1
12779,-2,-2
27906,21020,2
28135,16740,1
28608,14380,2
28801,11700,1
27893,48980,2
27889,47820,2
28012,16740,1
27401,24660,1
28332,-2,-2
28731,11700,1
28712,14820,2
28462,48900,1
28025,16740,1
28638,25860,1
