UNITID,EFFYDLEV,XEYDETOT,EFYDETOT,XEYDEEXC,EFYDEEXC,XEYDESOM,EFYDESOM,XEYDENON,EFYDENON
106713,2,R,589,R,61,R,315,R,213
106713,3,R,507,R,54,R,309,R,144
106713,11,R,82,R,7,R,6,R,69
106795,1,R,1708,R,346,R,876,R,486
106795,2,R,1708,R,346,R,876,R,486
106795,3,R,750,R,175,R,463,R,112
106795,11,R,958,R,171,R,413,R,374
106810,1,R,301,R,46,R,155,R,100
106810,2,R,301,R,46,R,155,R,100
106810,3,R,173,R,4,R,141,R,28
106810,11,R,128,R,42,R,14,R,72
106883,1,R,1765,R,708,R,399,R,658
106883,2,R,1765,R,708,R,399,R,658
106883,3,R,739,R,302,R,219,R,218
106883,11,R,1026,R,406,R,180,R,440
106908,1,R,608,A,,A,,R,608
106908,2,R,608,A,,A,,R,608
106908,3,R,608,A,,A,,R,608
106980,1,R,2824,R,356,R,1373,R,1095
106980,2,R,2824,R,356,R,1373,R,1095
106980,3,R,2076,R,292,R,1278,R,506
106980,11,R,748,R,64,R,95,R,589
106999,1,R,1548,R,578,R,692,R,278
106999,2,R,1548,R,578,R,692,R,278
106999,3,R,1075,R,409,R,577,R,89
106999,11,R,473,R,169,R,115,R,189
107044,1,R,5753,R,946,R,843,R,3964
107044,2,R,4167,R,425,R,595,R,3147
107044,3,R,3507,R,236,R,593,R,2678
107044,11,R,660,R,189,R,2,R,469
107044,12,R,1586,R,521,R,248,R,817
107071,1,R,2521,R,925,R,1461,R,135
107071,2,R,1660,R,169,R,1359,R,132
107071,3,R,1656,R,168,R,1357,R,131
107071,11,R,4,R,1,R,2,R,1
107071,12,R,861,R,756,R,102,R,3
107080,1,R,1118,A,,A,,R,1118
107080,2,R,1108,A,,A,,R,1108
107080,3,R,1103,A,,A,,R,1103
107080,11,R,5,A,,A,,R,5
107080,12,R,10,A,,A,,R,10
107099,1,R,144,A,,A,,R,144
107099,2,R,144,A,,A,,R,144
107099,3,R,144,A,,A,,R,144
107123,1,R,112,A,,A,,R,112
107123,2,R,112,A,,A,,R,112
107123,3,R,112,A,,A,,R,112
